sample_type_short	unsupervised	batch_size	dataset_short	cache_percentage	CliqDeg_2	Cliq_2	Coll_2	Rep_2
3HopRnd	True	1000	MAG2_H	1.0	1.0791848997869435	1.033605820139571	1	1.223832017146575
3HopRnd	True	1000	MAG2_H	2.0	1.0891590377089897	1.0682605579413627	1	1.3511484633879522
3HopRnd	True	2000	CF	10.0	1.2819691197937013	1.2707172584344906	1	2.15354634821148
3HopRnd	True	2000	CF	20.0	1.496134233380034	1.495440801173646	1	2.1228931689851835
3HopRnd	True	2000	CF	15.0	1.4076190245614886	1.4021636060639076	1	2.2883220956554373
3HopRnd	True	2000	PA	1.0	1.210742302634562	1.0213900279197519	1	1.2551385946842346
3HopRnd	True	2000	PA	10.0	1.353113443492016	1.1376413501207756	1	2.011788974156175
3HopRnd	True	2000	PA	20.0	1.2688387584228948	1.2365195133609856	1	1.8148736373028234
3HopRnd	True	2000	PA	30.0	1.3065103046743194	1.3031526018062125	1	1.41169076052797
3HopRnd	True	2000	PA	40.0	1.3447052401746726	1.3489014737991265	1	1.1361217248908297
3HopRnd	True	2000	PA	50.0			1	
3HopRnd	True	2000	PA_U	1.0	1.0126922976661739	1.0108051644328917	1	1.1331653192020228
3HopRnd	True	2000	PA_U	10.0	1.0967745290770845	1.0958852102640912	1	2.0194037923466577
3HopRnd	True	2000	PA_U	20.0	1.242414067619455	1.2413796838359934	1	2.8486441990565985
3HopRnd	True	2000	PA_U	30.0	1.2991227048905265	1.2935000719094352	1	2.1838484560016984
3HopRnd	True	2000	PA_U	40.0			1	
3HopRnd	True	2000	PR	1.0	0.9808362430845599	0.9920174549768219	1	1.0242777403148533
3HopRnd	True	2000	PR	10.0	1.0156832995813012	1.0087125824537184	1	1.5616424976069698
3HopRnd	True	2000	PR	20.0	1.0763233687555864	1.0590638877459813	1	2.6941886696082746
3HopRnd	True	2000	PR	30.0	1.0877241347622821	1.0849788069885247	1	3.4172553614298677
3HopRnd	True	2000	PR	40.0	1.2036912972085385	1.2044137931034482	1	3.0277963875205254
3HopRnd	True	2000	PR	50.0	1.226901319924576	1.225176190539872	1	2.3448252805006886
3HopRnd	True	2000	PR	90.0	1.2675732246572682	1.2678920447457063	1	1.0201688360294423
3HopRnd	True	2000	PR	100.0	1.0035376028864584	0.9987879129552373	1	1.0052852632765814
3HopRnd	True	2000	PR	70.0	1.2532011735351374	1.2517342546132544	1	1.3190617202709
3HopRnd	True	2000	PR	80.0	1.2677714301522969	1.2675362759879931	1	1.1337058913034457
3HopRnd	True	2000	TW	1.0	1.1005754139601247	1.0631781999774716	1	1.3414232343333459
3HopRnd	True	2000	TW	10.0	1.38891630207134	1.2704694233362939	1	1.4291369233637072
3HopRnd	True	2000	TW	20.0	1.460969081175571	1.3914563531082706	1	1.325972358789468
3HopRnd	True	2000	TW	30.0	1.4627318567879932	1.4519626946704547	1	1.2319534724598014
3HopRnd	True	2000	TW	40.0	1.514797884456371	1.5140802221632839	1	1.1684322199166888
3HopRnd	True	2000	TW	50.0	1.535665110390124	1.5328479860726438	1	1.0702065363614781
3HopRnd	True	2000	TW	60.0	1.5415208399618199	1.5427457842825325	1	1.048106904231626
3HopRnd	True	2000	TW	65.0			1	
3HopRnd	True	2000	UK	1.0	1.1493683746664383	1.0507258795015546	1	1.1614194432883689
3HopRnd	True	2000	UK	10.0	1.3558299657513952	1.202244527926241	1	1.390090421056374
3HopRnd	True	2000	UK	20.0	1.390806410903584	1.3164594901564866	1	1.433508960121151
3HopRnd	True	2000	UK	30.0	1.3665122251722284	1.378954309611814	1	1.3372030471827443
3HopRnd	True	2000	UK	35.0			1	
3HopRnd	True	4000	CF	1.0	1.006121937888562	1.0175834340251055	1	1.1307168096459366
3HopRnd	True	4000	CF	2.0	1.0283053382514993	1.0361096907735174	1	1.2577968330876985
3HopRnd	True	4000	CF	4.0	1.3117215446228405	1.088077794628652	1	1.4940475913736333
3HopRnd	True	4000	PA	1.0	1.1749089051134147	1.016030683178035	1	1.2353895230796121
3HopRnd	True	4000	PA	10.0	1.39239708187486	1.1564190503129088	1	2.117290716449222
3HopRnd	True	4000	PA	20.0	1.2929500813750228	1.257782293828415	1	1.9076285854523847
3HopRnd	True	4000	PA	30.0	1.3676978889936298	1.3669170927719216	1	1.2566439093133754
3HopRnd	True	4000	PA	40.0	1.3819159786771358	1.3809922444816505	1	1.108423301195081
3HopRnd	True	4000	PA_U	1.0	1.0109465838558163	1.0081213418818038	1	1.1248680275800238
3HopRnd	True	4000	PA_U	10.0	1.4488034050754899	1.0966876441900533	1	1.5217891247846274
3HopRnd	True	4000	PA_U	20.0	1.3894303568695516	1.2699267634253484	1	2.0380120291643737
3HopRnd	True	4000	PA_U	15.0	1.5166958501869323	1.2039719281445127	1	2.391552832378953
3HopRnd	True	4000	PR	1.0	1.006570903180843	0.999327711301981	1	1.049509749555345
3HopRnd	True	4000	PR	10.0	1.025706208248786	1.0324411208134792	1	1.5198559084380203
3HopRnd	True	4000	PR	20.0	1.0820639145289466	1.074617286747079	1	2.547671631085188
3HopRnd	True	4000	PR	30.0	0.945675267627187	0.9408521714180312	1	2.9847177532296296
3HopRnd	True	4000	PR	40.0	1.1746346886912324	1.1736817026683608	1	3.0219627982493296
3HopRnd	True	4000	PR	50.0	1.1887786123032904	1.1891899141630902	1	2.3900304005722464
3HopRnd	True	4000	PR	90.0	1.2221149425287356	1.2197885057471265	1	1.0094528735632184
3HopRnd	True	4000	PR	95.0	1.2267547100110825	1.2277798300701883	1	1.0047469523457704
3HopRnd	True	4000	PR	100.0	1.0018538457937363	1.000084265717897	1	1.0008145686063386
3HopRnd	True	4000	TW	1.0	1.0959516849132622	1.0535950121318223	1	1.3358685910054195
3HopRnd	True	4000	TW	10.0	1.3734588083023804	1.2411842823726094	1	1.4926824993427394
3HopRnd	True	4000	TW	20.0	1.4484796129923982	1.3658776779543884	1	1.3872235659986176
3HopRnd	True	4000	TW	30.0	1.4507153909339243	1.4399797512846473	1	1.2786299642782097
3HopRnd	True	4000	TW	40.0	1.4974716372775791	1.500756005487298	1	1.1977029449167391
3HopRnd	True	4000	TW	50.0	1.5283194247249772	1.529718797560801	1	1.089427074289333
3HopRnd	True	4000	TW	60.0			1	
3HopRnd	True	4000	UK	1.0	1.1422944233085939	1.0427057244052875	1	1.1656430641767577
3HopRnd	True	4000	UK	10.0	1.3849815724815724	1.2059475483388526	1	1.437974041234911
3HopRnd	True	4000	UK	20.0	1.4493395328199963	1.3407714848263559	1	1.508703006997532
3HopRnd	True	4000	UK	30.0	1.4166581845571322		1	
3HopRnd	True	4000	UK	15.0	1.468879942463647	1.2859953541048386	1	1.5184802466788463
3HopRnd	True	4000	UK	25.0	1.4108457515049837	1.3840027632487912	1	1.4555215632093161

