       |                                 Optimal                                  |                              Naive                               |                                                                           Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
 97.27 |   85.11=  85.11=max(  85.11,  85.11,  85.11,  85.11)   0.00  0.00  17.54 |   87.50=max(  87.46,  87.43,  87.50,  87.46)   0.00  0.00  10.25 | 13GB  1.00 24.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 98.11 |   86.71=  86.71=max(  86.71,  86.71,  86.71,  86.71)   0.00  0.00  17.10 |   88.38=max(  88.34,  88.31,  88.38,  88.34)   0.00  0.00   9.95 | 13GB  1.00 25.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 98.73 |   88.12=  88.12=max(  88.12,  88.12,  88.12,  88.12)   0.00  0.00  17.97 |   89.26=max(  89.22,  89.19,  89.26,  89.22)   0.00  0.00  10.25 | 13GB  1.00 26.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 99.05 |   89.28=  89.28=max(  89.28,  89.28,  89.28,  89.28)   0.00  0.00  17.33 |   90.14=max(  90.10,  90.07,  90.14,  90.10)   0.00  0.00   9.99 | 13GB  1.00 27.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 99.37 |   90.45=  90.45=max(  90.45,  90.45,  90.45,  90.45)   0.00  0.00  17.82 |   91.02=max(  90.98,  90.95,  91.02,  90.98)   0.00  0.00  11.08 | 13GB  1.00 28.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 99.69 |   91.62=  91.62=max(  91.62,  91.62,  91.62,  91.62)   0.00  0.00  17.28 |   91.90=max(  91.87,  91.83,  91.90,  91.86)   0.00  0.00  10.25 | 13GB  1.00 29.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 32.05 |   16.75=  16.75=max(  16.75,  16.75,  16.75,  16.74)   0.00  0.00  16.50 |   52.25=max(  52.23,  52.22,  52.25,  52.23)   0.00  0.00  10.56 | 15GB  1.00  1.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 37.71 |   19.98=  19.98=max(  19.98,  19.98,  19.98,  19.98)   0.00  0.00  17.01 |   52.99=max(  52.97,  52.96,  52.99,  52.97)   0.00  0.00  10.66 | 15GB  1.00  2.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 43.19 |   23.21=  23.21=max(  23.21,  23.21,  23.21,  23.21)   0.00  0.00  17.23 |   53.73=max(  53.71,  53.70,  53.73,  53.71)   0.00  0.00  10.40 | 15GB  1.00  3.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 48.53 |   26.44=  26.44=max(  26.44,  26.44,  26.44,  26.44)   0.00  0.00  16.29 |   54.47=max(  54.45,  54.44,  54.47,  54.45)   0.00  0.00  10.70 | 15GB  1.00  4.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
